Universidade;Unidade;Estado;Região;Curso;Categoria;Nota;Ensino;Pesquisa;Mercado;Inovação;Internacionalização
USP;Lorena;SP;Sudeste;Eng Ambiental;Cota EP RC 1,5 sm;686,47;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Ambiental;Cota Esc Pública 1,5 sm;657,38;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Ambiental;Cota EP RC ;635,82;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Ambiental;Cota Esc Pública ;726,52;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Ambiental;Ampla Conc;768,38;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Bioquímica;Cota EP RC 1,5 sm;644,79;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Bioquímica;Cota Esc Pública 1,5 sm;686,07;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Bioquímica;Cota EP RC ;679,53;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Bioquímica;Cota Esc Pública ;751,04;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Bioquímica;Ampla Conc;765,06;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng de Materiais;Cota Esc Pública 1,5 sm;678,98;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng de Materiais;Cota EP RC ;651,65;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng de Materiais;Cota Esc Pública ;669,22;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng de Materiais;Ampla Conc;770,67;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng de Produção;Cota EP RC 1,5 sm;679,52;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng de Produção;Cota Esc Pública 1,5 sm;681,3;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng de Produção;Cota EP RC ;648,1;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng de Produção;Cota Esc Pública ;719,05;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng de Produção;Ampla Conc;766,1;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Física;Cota EP RC 1,5 sm;696,94;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Física;Cota Esc Pública 1,5 sm;713,17;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Física;Cota EP RC ;717,9;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Física;Cota Esc Pública ;794,39;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Física;Ampla Conc;763,54;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Química;Cota EP RC 1,5 sm;665,23;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Química;Cota Esc Pública 1,5 sm;693,92;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Química;Cota EP RC ;714,03;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Química;Cota Esc Pública ;732,1;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Química;Ampla Conc;782,73;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Química;Cota EP RC 1,5 sm;673,67;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Química;Cota Esc Pública 1,5 sm;701,82;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Química;Cota EP RC ;707,37;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Química;Cota Esc Pública ;719,43;31,1;41,63;18;3,46;3,83
USP;Lorena;SP;Sudeste;Eng Química;Ampla Conc;775,52;31,1;41,63;18;3,46;3,83
USP;Piracicaba;SP;Sudeste;Eng Agronômica;Cota EP RC ;671,05;31,1;41,63;18;3,46;3,83
USP;Piracicaba;SP;Sudeste;Eng Agronômica;Cota Esc Pública ;717,48;31,1;41,63;18;3,46;3,83
USP;Piracicaba;SP;Sudeste;Eng Agronômica;Ampla Conc;757,59;31,1;41,63;18;3,46;3,83
USP;Piracicaba;SP;Sudeste;Eng Florestal;Cota EP RC ;688,3;31,1;41,63;18;3,46;3,83
USP;Piracicaba;SP;Sudeste;Eng Florestal;Cota Esc Pública ;698,2;31,1;41,63;18;3,46;3,83
USP;Piracicaba;SP;Sudeste;Eng Florestal;Ampla Conc;753,99;31,1;41,63;18;3,46;3,83
USP;Pirassununga;SP;Sudeste;Eng Biossistemas;Cota EP RC ;636,04;31,1;41,63;18;3,46;3,83
USP;Pirassununga;SP;Sudeste;Eng Biossistemas;Cota Esc Pública ;687,3;31,1;41,63;18;3,46;3,83
USP;Pirassununga;SP;Sudeste;Eng Biossistemas;Ampla Conc;756,34;31,1;41,63;18;3,46;3,83
USP;Pirassununga;SP;Sudeste;Eng de Alimentos;Cota EP RC ;661,33;31,1;41,63;18;3,46;3,83
USP;Pirassununga;SP;Sudeste;Eng de Alimentos;Cota Esc Pública ;711,98;31,1;41,63;18;3,46;3,83
USP;Pirassununga;SP;Sudeste;Eng de Alimentos;Ampla Conc;745,84;31,1;41,63;18;3,46;3,83
USP;Pirassununga;SP;Sudeste;Eng de Alimentos;Cota EP RC ;640,89;31,1;41,63;18;3,46;3,83
USP;Pirassununga;SP;Sudeste;Eng de Alimentos;Cota Esc Pública ;695,21;31,1;41,63;18;3,46;3,83
USP;Pirassununga;SP;Sudeste;Eng de Alimentos;Ampla Conc;744,75;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;C da Computação;Cota EP RC ;731,61;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;C da Computação;Cota Esc Pública ;776,16;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Física Médica;Cota Esc Pública 1,5 sm;687,83;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Física Médica;Cota EP RC ;681,6;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Física Médica;Cota Esc Pública ;725,23;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Física Médica;Ampla Conc;778,85;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Inform Biomédica;Cota EP RC ;632;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Inform Biomédica;Cota Esc Pública ;706,36;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Mat Aplicada a Negs;Cota EP RC ;663,67;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Mat Aplicada a Negs;Cota Esc Pública ;700,51;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Mat Aplicada a Negs;Ampla Conc;761,3;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Química;Cota EP RC ;645,78;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Química;Cota Esc Pública ;703,34;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Química;Ampla Conc;752,13;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Química;Cota EP RC ;656,09;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Química;Cota Esc Pública ;710,36;31,1;41,63;18;3,46;3,83
USP;Ribeirão Preto;SP;Sudeste;Química;Ampla Conc;747,78;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;C de Computação;Cota EP RC ;695,32;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;C de Computação;Cota Esc Pública ;759,43;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;C de Computação;Ampla Conc;800,61;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;C de Dados;Cota EP RC ;734,18;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;C de Dados;Cota Esc Pública ;760,39;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;C de Dados;Ampla Conc;774,86;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Ciências  Exatas;Cota EP RC ;628,97;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Ciências  Exatas;Cota Esc Pública ;680,14;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Ciências  Exatas;Ampla Conc;731,53;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Aeronáutica;Cota EP RC 1,5 sm;724,81;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Aeronáutica;Cota Esc Pública 1,5 sm;780,77;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Aeronáutica;Cota EP RC ;744,99;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Aeronáutica;Cota Esc Pública ;756,99;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Aeronáutica;Ampla Conc;821,52;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Ambiental;Cota EP RC 1,5 sm;683,62;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Ambiental;Cota Esc Pública 1,5 sm;720,58;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Ambiental;Cota EP RC ;685,98;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Ambiental;Cota Esc Pública ;760,42;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Ambiental;Ampla Conc;781,47;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Computação;Cota EP RC 1,5 sm;721,53;31,1;41,63;18;3,46;3,83
USP;São Carlos;SP;Sudeste;Eng Computação;Cota Esc Pública 1,5 sm;759;31,1;41,63;18;3,46;3,83
